DBID,CUIs
DB07886,C0031117
DB07886,C0013604
DB07886,C0239295
DB07886,C0151970
DB07886,C0014868
DB07886,C2586050
DB07886,C0029118
DB07886,C0029134
DB07886,C0029445
DB07886,C0030193
DB07886,C0030305
DB07886,C0001339
DB07886,C0267940
DB07886,C0030920
DB07886,C0031256
DB07886,C0033774
DB07886,C0033844
DB07886,C0034063
DB07886,C0423791
DB07886,C0267596
DB07886,C0332575
DB07886,C0036341
DB07886,C0423273
DB07886,C0271738
DB07886,C0036974
DB07886,C0151514
DB07886,C0241057
DB07886,C0262977
DB07886,C0037274
DB07886,C0037278
DB07886,C0677500
DB07886,C0424000
DB07886,C0700590
DB07886,C0039231
DB07886,C0039446
DB07886,C0040038
DB07886,C0040046
DB07886,C0040436
DB07886,C0043251
DB07886,C0178298
DB07886,C0042109
DB07886,C0042384
DB07886,C0042571
DB07886,C0043096
DB07886,C0087169
DB07702,C1291077
DB07702,C0000737
DB07702,C0948089
DB07702,C0002170
DB07702,C0002792
DB07702,C0002994
DB07702,C0042373
DB07702,C0004096
DB07702,C0005940
DB07702,C0006142
DB07702,C0853879
DB07702,C0877338
DB07702,C0006145
DB07702,C2225524
DB07702,C0235649
DB07702,C0262397
DB07702,C0018799
DB07702,C0018802
DB07702,C0038454
DB07702,C0553737
DB07702,C0008350
DB07702,C0009782
DB07702,C0010709
DB07702,C0149871
DB07702,C0235876
DB07702,C0011603
DB07702,C0011991
DB07702,C0476089
DB07702,C0014173
DB07702,C0014742
DB07702,C0014743
DB07702,C0015397
DB07702,C0016204
DB07702,C0268000
DB07702,C0016977
DB07702,C0017178
DB07702,C0343863
DB07702,C0553692
DB07702,C0018681
DB07702,C0019572
DB07702,C0020517
DB07702,C0020538
DB07702,C0235750
DB07702,C0021053
DB07702,C0851341
DB07702,C0917801
DB07702,C0162429
DB07702,C0025323
DB07702,C0004936
DB07702,C0149931
DB07702,C0027497
DB07702,C0027651
DB07702,C0013604
DB07702,C0085649
DB07702,C0030193
DB07702,C0032776
DB07702,C1328561
DB07702,C0033774
DB07702,C0036974
DB07702,C0037274
DB07702,C0234233
DB07702,C0233494
DB07702,C0040046
DB07702,C1510431
DB07702,C0178298
DB07702,C0042109
DB07702,C0042133
DB07702,C0404521
DB07702,C0042267
DB07702,C0006852
DB07702,C1368065
DB07702,C1861172
DB07702,C0547030
DB07702,C0700345
DB07702,C0043096
DB07465,C0000737
DB07465,C0002792
DB07465,C0002994
DB07465,C0003862
DB07465,C0004093
DB07465,C0011603
DB07465,C0242339
DB07465,C0542571
DB07465,C0015672
DB07465,C0016204
DB07465,C0016658
DB07465,C0017152
DB07465,C0017178
DB07465,C0750016
DB07465,C0018681
DB07465,C0020517
DB07465,C0020615
DB07465,C0271710
DB07465,C0043117
DB07465,C0021053
DB07465,C0021051
DB07465,C0851341
DB07465,C0024312
DB07465,C0162429
DB07465,C0948594
DB07465,C0027441
DB07465,C0027497
DB07465,C0085649
DB07465,C0029118
DB07465,C0030305
DB07465,C0001339
DB07465,C0033774
DB07465,C0034150
DB07465,C0037199
DB07465,C0037274
DB07465,C0041296
DB07465,C0178298
DB07465,C0042029
DB07465,C0042109
DB08567,C0000737
DB08567,C0234458
DB08567,C0152198
DB08567,C0948089
DB08567,C0233472
DB08567,C0001824
DB08567,C0002170
DB08567,C0002453
DB08567,C0002871
DB08567,C0002792
DB08567,C0340865
DB08567,C0002994
DB08567,C0042373
DB08567,C0017605
DB08567,C0085632
DB08567,C0003537
DB08567,C0038363
DB08567,C0002874
DB08567,C0003578
DB08567,C1971624
DB08567,C0003811
DB08567,C0428974
DB08567,C0003862
DB08567,C0022408
DB08567,C0004093
DB08567,C0004134
DB08567,C0085611
DB08567,C0004245
DB08567,C0149836
DB08567,C0004691
DB08567,C0232849
DB08567,C0456909
DB08567,C0852911
DB08567,C0311468
DB08567,C0015967
DB08567,C0428977
DB08567,C0006145
DB08567,C2225524
DB08567,C0006147
DB08567,C0006277
DB08567,C0006266
DB08567,C0006325
DB08567,C0018799
DB08567,C1167661
DB08567,C0235198
DB08567,C0007820
DB08567,C0008031
DB08567,C0085593
DB08567,C0085583
DB08567,C0009421
DB08567,C1704373
DB08567,C0009676
DB08567,C0009763
DB08567,C0009782
DB08567,C0009806
DB08567,C0520966
DB08567,C0026821
DB08567,C0232462
DB08567,C0011175
DB08567,C0549249
DB08567,C0235876
DB08567,C0086132
DB08567,C0011603
DB08567,C0011849
DB08567,C0011991
DB08567,C0232459
DB08567,C0012569
DB08567,C0234215
DB08567,C0012797
DB08567,C0012813
DB08567,C0043352
DB08567,C0013390
DB08567,C1527344
DB08567,C0013456
DB08567,C0013595
DB08567,C0234047
DB08567,C0013781
DB08567,C0151878
DB08567,C0014130
DB08567,C0392025
DB08567,C0014431
DB08567,C0014591
DB08567,C0041834
DB08567,C0014742
DB08567,C0235146
DB08567,C0015300
DB08567,C0015397
DB08567,C0151827
DB08567,C0542571
DB08567,C0015732
DB08567,C0015672
DB08567,C1443060
DB08567,C0549209
DB08567,C1112442
DB08567,C0233471
DB08567,C0016204
DB08567,C0268000
DB08567,C0016658
DB08567,C0017152
DB08567,C0017178
DB08567,C0017181
DB08567,C0151603
DB08567,C0017601
DB08567,C0018418
DB08567,C0018944
DB08567,C0018965
DB08567,C0518015
DB08567,C0019048
DB08567,C0019079
DB08567,C0019087
DB08567,C0019112
DB08567,C0018524
DB08567,C0018681
DB08567,C0741553
DB08567,C0019158
DB08567,C0206669
DB08567,C0019270
DB08567,C0019521
DB08567,C1522133
DB08567,C0020039
DB08567,C0600142
DB08567,C0034880
DB08567,C0020453
DB08567,C0020456
DB08567,C0424295
DB08567,C0020507
DB08567,C0020517
DB08567,C0020538
DB08567,C0235750
DB08567,C0026826
DB08567,C0020555
DB08567,C0020578
DB08567,C0020580
DB08567,C0020615
DB08567,C0271710
DB08567,C0086439
DB08567,C0020649
DB08567,C0242184
DB08567,C0020701
DB08567,C2047937
DB08567,C0020903
DB08567,C0021053
DB08567,C0021141
DB08567,C0232461
DB08567,C0494559
DB08567,C0917801
DB08567,C0853089
DB08567,C0553668
DB08567,C0022890
DB08567,C0022904
DB08567,C0023066
DB08567,C0023530
DB08567,C0023533
DB08567,C0041657
DB08567,C0497156
DB08567,C0231218
DB08567,C1112443
DB08567,C0162429
DB08567,C0338831
DB08567,C0151772
DB08567,C0025061
DB08567,C0236075
DB08567,C0025323
DB08567,C0004936
DB08567,C0025874
DB08567,C0149931
DB08567,C0270795
DB08567,C0085633
DB08567,C0026650
DB08567,C0235086
DB08567,C0026837
DB08567,C0231530
DB08567,C0948594
DB08567,C0026961
DB08567,C0027066
DB08567,C0027497
